0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 4
1, 17270
2, 17276
1, 17282
3, 17286
0, 17292
1, 17300
2, 17304
3, 17310
7, 17314
3, 17322
1, 17326
6, 17330
1, 17336
0, 17344
0, 17348
5, 17354
4, 17358
0, 17364
3, 17370
3, 17374
2, 17604
0, 17790
56, 22038
53, 22038
57, 22038
57, 22038
56, 22038
55, 22038
53, 22038
55, 22038
54, 22038
55, 22038
54, 22038
54, 22038
56, 22038
53, 22038
53, 22038
56, 22038
53, 22038
57, 22038
58, 22038
57, 22038
59, 22038
58, 22038
58, 22038
59, 22038
60, 22038
57, 22038
59, 22038
57, 22038
58, 22038
59, 22038
58, 22038
59, 22038
59, 22038
61, 22038
61, 22038
61, 22038
59, 22038
60, 22038
60, 22038
61, 22038
58, 22038
59, 22038
61, 22038
62, 22038
61, 22038
60, 22038
62, 22038
59, 22038
62, 22038
62, 22038
55, 22038
60, 22040
62, 22040
60, 22040
57, 22040
63, 22040
56, 22040
62, 22040
58, 22040
55, 22040
63, 22040
60, 22040
56, 22040
64, 22040
64, 22040
60, 22040
56, 22040
65, 22040
64, 22040
61, 22040
61, 22496
59, 22956
56, 23420
54, 23420
59, 23888
59, 24360
66, 24836
63, 24836
64, 25316
61, 25800
64, 26288
67, 26780
66, 26780
66, 27276
68, 27776
64, 28280
63, 28788
67, 29300
67, 29300
59, 29816
60, 30336
66, 30860
65, 31388
67, 31388
66, 31920
65, 20174
66, 20714
67, 21258
63, 21258
63, 21806
63, 22358
66, 22914
68, 23474
69, 23474
67, 24038
65, 24606
66, 25178
63, 25754
64, 25754
63, 26334
66, 26918
70, 27508
66, 28100
68, 28696
68, 28696
66, 29296
67, 29900
65, 30508
65, 31120
68, 31120
68, 31736
66, 20528
69, 21152
68, 21780
65, 21780
67, 22412
70, 23048
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 266
0, 17230
2, 17270
3, 17270
3, 17278
1, 17282
1, 17288
5, 17292
3, 17298
1, 17304
2, 17308
0, 17314
2, 17322
3, 17326
0, 17332
2, 17338
3, 17342
3, 17348
1, 17354
4, 17362
2, 17370
2, 17374
0, 17436
1, 17790
52, 19408
53, 19408
50, 19408
50, 19408
52, 19408
53, 19408
53, 19408
53, 19408
52, 19408
50, 19408
55, 19408
51, 19408
53, 19408
54, 19408
54, 19408
54, 19408
54, 19408
54, 19408
52, 19408
52, 19408
53, 19408
52, 19408
51, 19408
53, 19408
53, 19408
52, 19408
53, 19408
54, 19408
51, 19408
52, 19408
51, 19408
52, 19408
52, 19408
51, 19408
46, 19408
54, 19408
52, 19408
54, 19408
52, 19408
51, 19408
49, 19408
52, 19408
51, 19408
53, 19408
52, 19408
49, 19408
54, 19408
49, 19408
53, 19408
51, 19408
49, 19408
50, 19408
51, 19408
53, 19408
53, 19408
54, 19408
52, 19408
51, 19408
50, 19410
49, 19410
54, 19410
51, 19410
55, 19410
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 2
0, 17230
0, 17230
0, 17270
8, 17274
1, 17280
6, 17282
1, 17290
1, 17294
0, 17300
4, 17304
9, 17312
4, 17316
1, 17324
3, 17328
0, 17334
3, 17340
2, 17344
5, 17348
1, 17356
5, 17360
